Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,401343,2052.6327,161,278111,2.24
iqmeQFe_QFQ,🎮 Leer ? Keseso 🔴 Descarga mi App GRATIS! link en la bio. 👉 Sígueme YouTube: @elchilakas,"Sep 22, 2025",10,29222,52.9465,14,210,1.43
n4BG6tELaaA,🎮 Estoy en mi prime jefa 👉 Sígueme en Twitch y YouTube:  ⁨@elchilakas,"Sep 17, 2025",16,27077,73.1111,5,78,1.28
Cq821Xx6vn4,🎮 No sé como es que siempre término jugando LoL,"Aug 1, 2025",13,24307,53.1589,13,334,2.69
sGqgxGVf2wk,🎮 Solo en lo que pegan los streams ujujuja  👉 Sígueme en Twitch y YouTube:⁩   @elchilakas​,"Aug 8, 2025",6,22598,26.3994,0,110,1.82
MTVPOdwWTIY,🎮 Y así fue como me convertí en el mejor jungla de LAN 😎,"Jul 30, 2025",15,20445,54.7222,7,370,1.62
qGUaf1sJuvY,Que pasaría si metieran casters de los juegos olimpicos al lol¡? #leagueoflegends   #lol  #humor,"Oct 16, 2024",48,16559,214.406,8,1385,1.81
wMgCSVmz_NY,Las mejores partidas  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemesvideos,"Sep 21, 2024",18,15725,93.618,7,1468,1.91
Q4FjjzBJrck,Porque mi madre no crío cobardes   #memes   #humor  #funnymemesvideos,"Feb 22, 2025",15,13801,63.6784,3,979,2.66
rcfT9GT6MnQ,"Si era, pero ya cambie lo juro #memes   #humor  #funnymemesvideos","Nov 30, 2024",9,12295,54.1594,4,667,1.95
Z04NyaVNzwo,A veces olvido que la jg es superior #leagueoflegends  #lol  #gaming  #humor  #memes  #xd #games,"Jul 20, 2024",8,11232,40.2364,4,1326,0.68
hra_sBFfLoM,Por eso es que nos dicen el dúo dinámico #leagueoflegends   #lol  #gaming  #memes  #humor,"Sep 4, 2024",13,10820,48.337,13,3162,2.02
MDXDp_d8SA4,🎮 Se nos acaban las opciones 🔴 Descarga mi App GRATIS! link en la bio. 👉 Sígueme Guapo @elchilakas,"Sep 23, 2025",13,10541,23.6579,3,34,2.94
pRwRsXyB2yc,"🎮 No chingu3 mija como que plata, que sigue nadar con vagabundos? 👉  @elchilakas​","Aug 13, 2025",13,10372,23.8545,0,142,3.52
Pv7mmzRYgOA,Si soy #leagueoflegends  #lol  #gaming  #humor  #memes #leagueoflegends,"May 10, 2024",9,9878,31.4808,3,290,3.45
MkKpwxel-TU,JAJA un clásico  #leagueoflegends  #lol  #gaming  #humor  #memes  #bronce  #xd #games #gamer,"May 20, 2024",8,9244,27.2969,7,625,2.4
mFyNJFSm9yg,Subanle la dificultad a los bots  #humor #lol #gaming #bronce #leagueoflegends #memes #games,"Apr 26, 2024",18,8740,42.53,2,869,5.75
d32L-8N6cb8,Mientras tanto en el superserver de LAN   #leagueoflegends  #lol  #gaming  #humor  #memes  #xd,"Jul 3, 2024",15,8071,41.3082,1,671,1.04
khDa5Lvz7HY,Me lo balasiaron#memes   #humor  #funnymemesvideos,"Nov 25, 2024",8,8020,26.947,4,472,2.97
9fhHGiC6MNg,Cuando desbloqueas el modo ultrainstinto   #leagueoflegends  #lol  #gaming  #humor  #memes  #xd,"Jul 6, 2024",7,7651,26.4326,1,405,2.96
LzKvckNkM2g,Etiqueten a ese hijo de dios que nunca descepciona #memes   #humor,"Mar 29, 2025",9,3926,9.592,0,785,0.38
cuK8_RXNnZA,🎮 P1nch3 gente que no se sabe la de chambear 👉 Sígueme en Twitch y YouTube: @elchilakas​,"Aug 18, 2025",8,2842,3.7542,0,24,0
dvBAmYP66jI,Pelea de soportes  #lol #leagueoflegends #gaming #support,"Apr 22, 2024",10,2810,8.2984,3,765,4.84
3oUVmLvwbqo,🎮  Mientras me acribillan entre 4 en el dragón,"Jul 28, 2025",11,2795,4.281,2,496,0.6
CX_xC2GRafU,Vistete #leagueoflegends #memes #humor,"Jul 5, 2025",10,2544,3.746,0,181,1.66
LBK3rj-Q-dk,Una pequeña llamada de atención para reforzar el enfoque JAJAJA #memes   #humor,"Mar 22, 2025",24,2511,23.269,0,221,1.81
ltA7M6LLBCE,En la vida hay que tener prioridades  #memes   #humor,"Mar 8, 2025",7,2476,6.4093,0,242,1.65
RTzzrYBGA-I,no me vuelvas a faltar el respeto c4brºn  #leagueoflegends  #lol  #gaming  #humor  #memes,"May 6, 2024",11,2430,8.679,5,1017,5.41
aSxw94z_F4g,🎮 Por eso no salgo de plata 👉 Sígueme en Twitch y YouTube:  @elchilakas​,"Aug 23, 2025",7,2286,2.9077,1,193,1.04
eNdHKQLNxE8,🎮 Caray vaya día #memes #leagueoflegends #humor #gaming,"Jul 15, 2025",7,2208,2.8034,0,166,3.61
lpJ_ypajcYs,salganse del youtube  quiero estar solo :( #esports  #lol #gaming #leagueoflegends  #games,"May 4, 2024",9,2182,6.7359,0,1095,2.37
vSFiP-V_lnM,🎮 Por eso esta todo loko 👉 Sígueme en Twitch y YouTube:  ⁨@elchilakas⁩   @elchilakas​,"Aug 6, 2025",10,2021,3.1727,0,20,0
DpI9tr6TMS0,🎮 Como voy a dejar a mi alma mother 👉 Sígueme en Twitch y YouTube:⁩   @elchilakas​,"Aug 7, 2025",19,1990,4.7529,0,51,5.88
Rq_y_upGvV0,Best Gank Islas Tiki tiki  #leagueoflegends  #lol  #gaming  #humor  #memes,"May 13, 2024",7,1979,5.6156,0,594,3.2
r55DdcJzrbA,Pa que digo que no si si  #leagueoflegends #memes #humor,"Jun 28, 2025",12,1812,2.8197,0,424,1.18
yedn70CNlqA,El deber llama  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemesvideos,"Oct 5, 2024",16,1797,6.8082,0,224,3.57
fIgvUonEzds,Perdoname mi amor porfavor  #leagueoflegends   #lol  #gaming  #memes  #humor  #funnymemes,"Aug 31, 2024",8,1752,6.6898,3,987,1.01
nlbPTN1kGhA,Mi compa se esta volviendo loco aiuda  #leagueoflegends   #lol  #humor #internetmemes #memescortos,"Nov 10, 2024",16,1733,6.447,0,216,2.31
7twHEtfqbj0,Mi  macho con M mayúscula de cabr0n   #leagueoflegends #memes #humor,"Jun 14, 2025",7,1651,1.7001,1,382,2.36
